Date,Description,Amount
2026-06-02,PAYROLL DIRECT DEPOSIT ACME CORP,2450.00
2026-06-02,ZELLE FROM LANDLORD RENT PORTION,-1200.00
2026-06-03,KROGER #418 COLUMBUS OH,-86.42
2026-06-04,SHELL OIL 574823,-41.10
2026-06-05,NETFLIX.COM,-15.49
2026-06-06,SPOTIFY USA,-11.99
2026-06-07,DOORDASH ORDER,-28.75
2026-06-09,XFINITY INTERNET,-79.00
2026-06-10,GEICO AUTO INSURANCE,-142.30
2026-06-12,AMAZON MKTPL AMZN.COM/BILL,-53.18
2026-06-13,CVS PHARMACY 03291,-24.60
2026-06-15,STUDENT LOAN PAYMENT NELNET,-210.00
2026-06-16,PAYROLL DIRECT DEPOSIT ACME CORP,2450.00
2026-06-16,TRADER JOE'S #553,-64.03
2026-06-18,CHIPOTLE ONLINE,-13.85
2026-06-20,TARGET T-1842 COLUMBUS OH,-97.44
2026-06-22,MARATHON PETRO 88213,-38.90
2026-06-24,STARBUCKS STORE 09112,-6.75
2026-06-25,INTEREST EARNED,3.11
2026-06-27,AMC THEATRES 6142,-22.00
2026-06-28,MEIJER #211,-72.19
2026-06-30,ELECTRIC UTILITY AEP OHIO,-118.65
2026-07-01,ZELLE FROM LANDLORD RENT PORTION,-1200.00
2026-07-01,PAYROLL DIRECT DEPOSIT ACME CORP,2450.00
2026-07-03,WALGREENS #4471,-31.20
2026-07-05,UBEREATS,-24.40
2026-07-07,DELTA AIR LINES TICKET,-289.00
2026-07-09,AIRBNB HMxxxxxx,-176.50
2026-07-11,GYM MEMBERSHIP PLANET FIT,-24.99
2026-07-14,ALDI 78 COLUMBUS,-51.77
2026-07-15,TAX REFUND STATE OF OHIO,412.00
2026-07-16,PAYROLL DIRECT DEPOSIT ACME CORP,2450.00
2026-07-18,BEST BUY 00014482,-119.99
2026-07-20,SPEEDWAY 04412,-40.05
2026-07-22,STEAM PURCHASE,-19.99
2026-07-24,CREDIT CARD PAYMENT CHASE,-350.00
2026-07-26,WHOLE FOODS MKT COLUMBUS,-88.31
2026-07-28,DOCTOR OFFICE COPAY,-35.00
2026-07-30,GAS COMPANY COLUMBIA,-44.80
